年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2015,花蓮縣,花蓮市,民立里,一般住宅/非核心商業區,否,否,48,4,33,68.75,246510140,5135627,醫療耗材零售,963615.78
2015,花蓮縣,花蓮市,民運里,一般住宅/非核心商業區,否,否,116,7,45,38.79,369261000,3183284,麵店、小吃店,1351710.21
2016,花蓮縣,花蓮市,主信里,一般住宅/非核心商業區,否,否,61,4,31,50.82,122525000,2008606,麵店、小吃店,768112.62
2016,花蓮縣,花蓮市,主力里,金三角商圈,是,否,187,9,110,58.82,408437000,2184155,美髮院及髮廊,2695172.93
2016,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,84,6,41,48.81,82559000,982845,未分類其他服飾品零售,924146.64
2016,花蓮縣,花蓮市,主和里,一般住宅/非核心商業區,否,否,123,3,64,52.03,205706500,1672410,麵店、小吃店,1531248.84
2016,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,95,1,45,47.37,1114099000,11727357,金（銀）飾零售,2195571.22
2016,花蓮縣,花蓮市,主學里,金三角商圈,是,否,103,9,46,44.66,160587000,1559097,麵店、小吃店,1115283.83
2016,花蓮縣,花蓮市,主安里,金三角商圈,是,否,98,9,48,48.98,264809000,2702132,其他美容美體服務,1276004.71
2016,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,85,7,39,45.88,242998000,2858800,麵店、小吃店,1068886.38
2016,花蓮縣,花蓮市,主權里,一般住宅/非核心商業區,否,否,204,6,111,54.41,364791000,1788191,麵店、小吃店,2665014.66
2016,花蓮縣,花蓮市,主睦里,一般住宅/非核心商業區,否,否,80,4,32,40.0,144617000,1807712,未分類其他家用器具及用品零售,813826.39
2016,花蓮縣,花蓮市,主義里,一般住宅/非核心商業區,否,否,28,4,10,35.71,9266000,330928,梭織服裝訂製,212855.53
2016,花蓮縣,花蓮市,主計里,金三角商圈,是,否,69,4,25,36.23,173431000,2513492,水產品零售,705569.53
2016,花蓮縣,花蓮市,主農里,一般住宅/非核心商業區,否,否,129,5,68,52.71,180544900,1399572,民宿,1583072.82
2016,花蓮縣,花蓮市,國光里,一般住宅/非核心商業區,否,否,82,9,36,43.9,74670000,910609,民宿,813960.94
2016,花蓮縣,花蓮市,國威里,金三角商圈,是,否,159,10,79,49.69,491328000,3090113,麵店、小吃店,2164142.83
2016,花蓮縣,花蓮市,國安里,一般住宅/非核心商業區,否,否,88,4,49,55.68,209606000,2381886,麵店、小吃店,1232507.83
2016,花蓮縣,花蓮市,國富里,一般住宅/非核心商業區,否,否,285,15,135,47.37,356263900,1250048,麵店、小吃店,3140359.68
2016,花蓮縣,花蓮市,國強里,一般住宅/非核心商業區,否,否,57,2,41,71.93,189264000,3320421,其他汽車維修,1047301.07
2016,花蓮縣,花蓮市,國慶里,一般住宅/非核心商業區,否,否,90,1,59,65.56,2553078745,28367541,汽車零件、汽車百貨零售,4139406.75
2016,花蓮縣,花蓮市,國治里,一般住宅/非核心商業區,否,否,111,11,52,46.85,97956400,882490,麵店、小吃店,1164294.88
2016,花蓮縣,花蓮市,國盛里,一般住宅/非核心商業區,否,否,161,7,88,54.66,401945000,2496552,計程車客運,2242925.72
2016,花蓮縣,花蓮市,國福里,一般住宅/非核心商業區,否,否,28,1,17,60.71,18830000,672500,未分類其他家用器具及用品零售,365406.67
2016,花蓮縣,花蓮市,國聯里,一般住宅/非核心商業區,否,否,314,26,194,61.78,2165432840,6896282,民宿,6421176.98
2016,花蓮縣,花蓮市,國興里,一般住宅/非核心商業區,否,否,134,9,64,47.76,235934800,1760707,麵店、小吃店,1566137.08
2016,花蓮縣,花蓮市,國華里,一般住宅/非核心商業區,否,否,92,4,42,45.65,177688606,1931397,麵店、小吃店,1054157.35
2016,花蓮縣,花蓮市,國裕里,一般住宅/非核心商業區,否,否,252,14,164,65.08,1451691190,5760679,未分類其他土木工程,4990923.04
2016,花蓮縣,花蓮市,國防里,一般住宅/非核心商業區,否,否,39,1,20,51.28,96746000,2480666,未分類其他土木工程,515982.37
2016,花蓮縣,花蓮市,國風里,一般住宅/非核心商業區,否,否,161,10,92,57.14,276148800,1715209,餐廳,2178601.47
2016,花蓮縣,花蓮市,國魂里,一般住宅/非核心商業區,否,否,117,6,65,55.56,869826300,7434412,麵店、小吃店,2317964.13
2016,花蓮縣,花蓮市,市區其他未標示里,一般住宅/非核心商業區,否,否,110,2,7,6.36,29590290,269002,農產品（家畜及家禽肉品）批發市場承銷,175664.64
2016,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,356,197,15,4.21,145609000,409014,餐食攤販,471297.44
2016,花蓮縣,花蓮市,民享里,一般住宅/非核心商業區,否,否,81,3,50,61.73,211011000,2605074,民宿,1254345.53
2016,花蓮縣,花蓮市,民勤里,一般住宅/非核心商業區,否,否,94,4,47,50.0,212147001,2256882,麵店、小吃店,1195008.33
2016,花蓮縣,花蓮市,民孝里,一般住宅/非核心商業區,否,否,143,4,65,45.45,636201500,4448961,水產品零售,2048324.2
2016,花蓮縣,花蓮市,民德里,一般住宅/非核心商業區,否,否,55,7,33,60.0,174526000,3173200,麵店、小吃店,868562.21
2016,花蓮縣,花蓮市,民心里,一般住宅/非核心商業區,否,否,175,7,162,92.57,2533943500,14479677,石材家具及其製品製造,6199580.98
2016,花蓮縣,花蓮市,民意里,一般住宅/非核心商業區,否,否,54,6,31,57.41,325552000,6028740,麵店、小吃店,1002437.86
2016,花蓮縣,花蓮市,民政里,一般住宅/非核心商業區,否,否,95,5,50,52.63,270447848,2846819,不動產投資開發,1322945.05
2016,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,84,3,36,42.86,395429350,4707492,旅館,1184167.91
2016,花蓮縣,花蓮市,民有里,一般住宅/非核心商業區,否,否,10,2,3,30.0,1375000,137500,民宿,62235.3
