年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2019,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,108,4,49,45.37,1116025000,10333564,服裝零售,2257132.49
2019,花蓮縣,花蓮市,主學里,金三角商圈,是,否,120,5,52,43.33,173937000,1449475,麵店、小吃店,1197390.71
2019,花蓮縣,花蓮市,主安里,金三角商圈,是,否,111,4,52,46.85,271439000,2445396,麵店、小吃店,1312987.57
2019,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,98,4,46,46.94,246618000,2516510,麵店、小吃店,1169193.98
2019,花蓮縣,花蓮市,主計里,金三角商圈,是,否,79,4,31,39.24,184264000,2332455,水產品零售,809352.55
2019,花蓮縣,花蓮市,國威里,金三角商圈,是,否,184,7,90,48.91,494689000,2688527,麵店、小吃店,2301988.54
2019,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,400,7,24,6.0,169022000,422555,餐食攤販,657854.64
2019,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,98,6,44,44.9,545707350,5568442,麵店、小吃店,1485667.59
2019,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,240,10,88,36.67,376648000,1569366,服裝零售,2123918.9
2020,花蓮縣,花蓮市,主力里,金三角商圈,是,否,228,12,128,56.14,440392000,1931543,美髮院及髮廊,2641682.68
2020,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,99,3,46,46.46,84794000,856505,未分類其他服飾品零售,869129.01
2020,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,120,12,52,43.33,1118434000,9320283,服裝零售,2099073.22
2020,花蓮縣,花蓮市,主學里,金三角商圈,是,否,127,7,53,41.73,174607000,1374858,麵店、小吃店,1085367.17
2020,花蓮縣,花蓮市,主安里,金三角商圈,是,否,116,5,56,48.28,278237000,2398594,麵店、小吃店,1249167.19
2020,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,107,9,50,46.73,248866000,2325850,麵店、小吃店,1115808.42
2020,花蓮縣,花蓮市,主計里,金三角商圈,是,否,84,5,33,39.29,186616000,2221619,水產品零售,760853.82
2020,花蓮縣,花蓮市,國威里,金三角商圈,是,否,201,17,99,49.25,500879000,2491935,麵店、小吃店,2218171.8
2020,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,409,9,24,5.87,170341000,416481,餐食攤販,591150.94
2020,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,103,5,49,47.57,553027350,5369197,麵店、小吃店,1431048.18
2020,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,254,14,90,35.43,378902000,1491740,服裝零售,1933050.37
2021,花蓮縣,花蓮市,主力里,金三角商圈,是,否,249,21,135,54.22,493155000,1980542,美髮院及髮廊,2763054.81
2021,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,114,15,52,45.61,87836000,770491,未分類其他服飾品零售,950067.66
2021,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,128,8,53,41.41,1119402000,8745328,服裝零售,2120244.3
2021,花蓮縣,花蓮市,主學里,金三角商圈,是,否,137,10,57,41.61,176713000,1289875,麵店、小吃店,1131381.78
2021,花蓮縣,花蓮市,主安里,金三角商圈,是,否,123,7,58,47.15,278745000,2266219,麵店、小吃店,1261884.7
2021,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,116,9,53,45.69,256210888,2208714,麵店、小吃店,1154774.38
2021,花蓮縣,花蓮市,主計里,金三角商圈,是,否,93,9,35,37.63,192894000,2074129,畜肉零售,789092.96
2021,花蓮縣,花蓮市,國威里,金三角商圈,是,否,219,18,108,49.32,505578001,2308575,麵店、小吃店,2334656.54
2021,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,431,22,32,7.42,177928900,412828,餐食攤販,723210.96
2021,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,111,8,51,45.95,555640350,5005768,麵店、小吃店,1456920.53
2021,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,266,12,93,34.96,380045880,1428743,服裝零售,1948531.75
2022,花蓮縣,花蓮市,主力里,金三角商圈,是,否,264,15,142,53.79,500435000,1895587,餐廳,2929296.19
2022,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,121,7,55,45.45,88391000,730504,餐廳,1010312.05
2022,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,137,9,56,40.88,1120680000,8180145,服裝零售,2243477.84
2022,花蓮縣,花蓮市,主學里,金三角商圈,是,否,148,11,61,41.22,179766000,1214635,麵店、小吃店,1216860.41
2022,花蓮縣,花蓮市,主安里,金三角商圈,是,否,133,10,61,45.86,280180000,2106616,麵店、小吃店,1335211.74
2022,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,121,5,57,47.11,260220888,2150585,麵店、小吃店,1245786.79
