年份,縣市,鄉鎮市區,里別,是否為金三角商圈,是否為東大門/歷史夜市周邊,存續營利事業累積家數,該年新設家數,開立發票店家數,登記資本總額(元),平均資本額(元),申報體系推估銷售額(千元),夜市與觀光實質現金金流增額(千元),綜合推估實質商圈消費總額(千元)
1996,花蓮縣,花蓮市,主農里,否,否,32,2,15,25714000,803562,557582.35,0.0,557582.35
1996,花蓮縣,花蓮市,國光里,否,否,30,1,13,36778000,1225933,496850.04,0.0,496850.04
1996,花蓮縣,花蓮市,國威里,是,否,40,1,22,354426000,8860650,1115257.04,0.0,1115257.04
1996,花蓮縣,花蓮市,國安里,否,否,24,2,9,37089000,1545375,354893.97,0.0,354893.97
1996,花蓮縣,花蓮市,國富里,否,否,64,5,34,69421900,1084717,1274313.51,0.0,1274313.51
1996,花蓮縣,花蓮市,國強里,否,否,20,3,14,69615000,3480750,563254.0,0.0,563254.0
1996,花蓮縣,花蓮市,國慶里,否,否,16,1,11,2490725745,155670359,2730578.73,0.0,2730578.73
1996,花蓮縣,花蓮市,國治里,否,否,23,2,10,57693400,2508408,409808.55,0.0,409808.55
1996,花蓮縣,花蓮市,國盛里,否,否,34,2,17,102330000,3009705,700667.46,0.0,700667.46
1996,花蓮縣,花蓮市,國福里,否,否,8,2,5,11243000,1405375,188370.13,0.0,188370.13
1996,花蓮縣,花蓮市,國聯里,否,否,90,6,53,1506932840,16743698,3300164.15,0.0,3300164.15
1996,花蓮縣,花蓮市,國興里,否,否,15,3,7,145420000,9694666,385519.0,0.0,385519.0
1996,花蓮縣,花蓮市,國華里,否,否,29,0,15,41593000,1434241,572496.58,0.0,572496.58
1996,花蓮縣,花蓮市,國裕里,否,否,55,4,35,820145410,14911734,2014987.21,0.0,2014987.21
1996,花蓮縣,花蓮市,國防里,否,否,10,2,7,17886000,1788600,265733.6,0.0,265733.6
1996,花蓮縣,花蓮市,國風里,否,否,38,0,22,91255000,2401447,868075.57,0.0,868075.57
1996,花蓮縣,花蓮市,國魂里,否,否,22,0,15,783314300,35605195,1269152.98,0.0,1269152.98
1996,花蓮縣,花蓮市,市區其他未標示里,否,否,56,0,0,240290,4290,225.69,0.0,225.69
1996,花蓮縣,花蓮市,民主里,是,是,15,1,1,104984000,6998933,134167.51,0.0,134167.51
1996,花蓮縣,花蓮市,民享里,否,否,20,1,11,69024000,3451200,456012.78,0.0,456012.78
1996,花蓮縣,花蓮市,民勤里,否,否,18,2,11,53373400,2965188,441313.06,0.0,441313.06
1996,花蓮縣,花蓮市,民孝里,否,否,32,2,18,226911000,7090968,853241.31,0.0,853241.31
1996,花蓮縣,花蓮市,民德里,否,否,14,0,6,14619000,1044214,227103.05,0.0,227103.05
1996,花蓮縣,花蓮市,民心里,否,否,80,1,74,1273337500,15916718,3827564.33,0.0,3827564.33
1996,花蓮縣,花蓮市,民意里,否,否,11,1,7,240770000,21888181,475075.8,0.0,475075.8
1996,花蓮縣,花蓮市,民政里,否,否,28,2,15,90426848,3229530,618363.42,0.0,618363.42
1996,花蓮縣,花蓮市,民族里,是,是,34,0,12,247521000,7280029,659226.84,0.0,659226.84
1996,花蓮縣,花蓮市,民有里,否,否,3,0,0,106000,35333,99.56,0.0,99.56
1996,花蓮縣,花蓮市,民樂里,否,否,3,0,0,133000,44333,124.92,0.0,124.92
1996,花蓮縣,花蓮市,民權里,否,否,5,0,2,2058000,411600,73057.05,0.0,73057.05
1996,花蓮縣,花蓮市,民治里,否,否,0,0,0,0,0,0.0,0.0,0.0
1996,花蓮縣,花蓮市,民生里,是,是,81,2,21,49231000,607790,793042.78,0.0,793042.78
1996,花蓮縣,花蓮市,民立里,否,否,8,1,5,20029000,2503625,196622.31,0.0,196622.31
1996,花蓮縣,花蓮市,民運里,否,否,49,4,19,239440000,4886530,900571.13,0.0,900571.13
1997,花蓮縣,花蓮市,主信里,否,否,30,1,11,75254000,2508466,453578.05,0.0,453578.05
1997,花蓮縣,花蓮市,主力里,是,否,74,10,47,198899000,2687824,1819579.43,0.0,1819579.43
1997,花蓮縣,花蓮市,主勤里,是,否,33,2,15,68903000,2087969,585955.44,0.0,585955.44
1997,花蓮縣,花蓮市,主和里,否,否,37,3,15,52646000,1422864,570255.84,0.0,570255.84
1997,花蓮縣,花蓮市,主商里,是,是,39,5,22,1042054000,26719333,1768134.02,0.0,1768134.02
1997,花蓮縣,花蓮市,主學里,是,否,31,6,15,20837000,672161,539537.46,0.0,539537.46
1997,花蓮縣,花蓮市,主安里,是,否,31,3,14,134517000,4339258,614692.1,0.0,614692.1
1997,花蓮縣,花蓮市,主工里,是,是,21,1,10,8611000,410047,354592.35,0.0,354592.35
1997,花蓮縣,花蓮市,主權里,否,否,59,6,35,148128000,2510644,1355017.28,0.0,1355017.28
1997,花蓮縣,花蓮市,主睦里,否,否,33,1,12,80662000,2444303,493428.29,0.0,493428.29
1997,花蓮縣,花蓮市,主義里,否,否,13,0,3,4507000,346692,108235.45,0.0,108235.45
1997,花蓮縣,花蓮市,主計里,是,否,16,0,3,37526000,2345375,140122.34,0.0,140122.34
1997,花蓮縣,花蓮市,主農里,否,否,35,3,16,26030000,743714,579180.07,0.0,579180.07
1997,花蓮縣,花蓮市,國光里,否,否,30,0,13,36778000,1225933,485676.58,0.0,485676.58
1997,花蓮縣,花蓮市,國威里,是,否,40,0,22,354426000,8860650,1104082.45,0.0,1104082.45
1997,花蓮縣,花蓮市,國安里,否,否,27,3,11,45089000,1669962,424447.31,0.0,424447.31
1997,花蓮縣,花蓮市,國富里,否,否,72,8,38,112047900,1556220,1424057.22,0.0,1424057.22
1997,花蓮縣,花蓮市,國強里,否,否,20,0,14,69615000,3480750,552015.37,0.0,552015.37
1997,花蓮縣,花蓮市,國慶里,否,否,16,0,11,2490725745,155670359,2786231.48,0.0,2786231.48
1997,花蓮縣,花蓮市,國治里,否,否,26,3,12,57773400,2222053,471324.46,0.0,471324.46
1997,花蓮縣,花蓮市,國盛里,否,否,39,5,19,115545000,2962692,769508.89,0.0,769508.89
1997,花蓮縣,花蓮市,國福里,否,否,8,0,5,11243000,1405375,183995.81,0.0,183995.81
1997,花蓮縣,花蓮市,國聯里,否,否,99,9,58,1526599840,15420200,3482662.18,0.0,3482662.18
1997,花蓮縣,花蓮市,國興里,否,否,18,3,7,145490000,8082777,382895.26,0.0,382895.26
1997,花蓮縣,花蓮市,國華里,否,否,30,1,15,41623000,1387433,559610.78,0.0,559610.78
1997,花蓮縣,花蓮市,國裕里,否,否,65,10,40,918661410,14133252,2272270.02,0.0,2272270.02
1997,花蓮縣,花蓮市,國防里,否,否,12,2,8,18889000,1574083,295262.64,0.0,295262.64
1997,花蓮縣,花蓮市,國風里,否,否,42,4,25,119308000,2840666,980908.82,0.0,980908.82
1997,花蓮縣,花蓮市,國魂里,否,否,26,4,17,783479300,30133819,1345286.67,0.0,1345286.67
1997,花蓮縣,花蓮市,市區其他未標示里,否,否,60,4,0,254290,4238,245.57,0.0,245.57
1997,花蓮縣,花蓮市,民主里,是,是,16,1,2,106484000,6655250,172088.34,0.0,172088.34
1997,花蓮縣,花蓮市,民享里,否,否,21,1,11,69029000,3287095,447566.49,0.0,447566.49
1997,花蓮縣,花蓮市,民勤里,否,否,22,4,13,64476400,2930745,512425.3,0.0,512425.3
1997,花蓮縣,花蓮市,民孝里,否,否,34,2,19,227514000,6691588,877638.85,0.0,877638.85
1997,花蓮縣,花蓮市,民德里,否,否,15,1,6,14622000,974800,221886.62,0.0,221886.62
1997,花蓮縣,花蓮市,民心里,否,否,86,6,80,1394337500,16213226,4116743.17,0.0,4116743.17
1997,花蓮縣,花蓮市,民意里,否,否,13,2,8,240870000,18528461,509632.66,0.0,509632.66
1997,花蓮縣,花蓮市,民政里,否,否,29,1,15,90471848,3119718,606784.77,0.0,606784.77
1997,花蓮縣,花蓮市,民族里,是,是,36,2,13,247541000,6876138,689213.23,0.0,689213.23
1997,花蓮縣,花蓮市,民有里,否,否,3,0,0,106000,35333,102.37,0.0,102.37
1997,花蓮縣,花蓮市,民樂里,否,否,3,0,0,133000,44333,128.44,0.0,128.44
1997,花蓮縣,花蓮市,民權里,否,否,5,0,2,2058000,411600,71242.76,0.0,71242.76
1997,花蓮縣,花蓮市,民治里,否,否,0,0,0,0,0,0.0,0.0,0.0
1997,花蓮縣,花蓮市,民生里,是,是,84,3,23,49490000,589166,844229.33,0.0,844229.33
1997,花蓮縣,花蓮市,民立里,否,否,11,3,8,63529000,5775363,338372.08,0.0,338372.08
1997,花蓮縣,花蓮市,民運里,否,否,50,1,19,239440000,4788800,889155.95,0.0,889155.95
1998,花蓮縣,花蓮市,主信里,否,否,33,3,13,87257000,2644151,528797.24,0.0,528797.24
1998,花蓮縣,花蓮市,主力里,是,否,76,2,47,201399000,2649986,1799216.85,0.0,1799216.85
1998,花蓮縣,花蓮市,主勤里,是,否,33,0,15,68903000,2087969,578784.84,0.0,578784.84
1998,花蓮縣,花蓮市,主和里,否,否,40,3,16,56252000,1406300,600349.71,0.0,600349.71
1998,花蓮縣,花蓮市,主商里,是,是,41,2,23,1042054000,25415951,1811722.86,0.0,1811722.86
1998,花蓮縣,花蓮市,主學里,是,否,35,4,18,77637000,2218200,689560.68,0.0,689560.68
1998,花蓮縣,花蓮市,主安里,是,否,32,1,15,135517000,4234906,644534.51,0.0,644534.51
1998,花蓮縣,花蓮市,主工里,是,是,23,2,10,8621000,374826,349026.38,0.0,349026.38
1998,花蓮縣,花蓮市,主權里,否,否,62,3,36,151137000,2437693,1375038.05,0.0,1375038.05
1998,花蓮縣,花蓮市,主睦里,否,否,34,1,12,80667000,2372558,488241.02,0.0,488241.02
1998,花蓮縣,花蓮市,主義里,否,否,13,0,3,4507000,346692,106603.69,0.0,106603.69
1998,花蓮縣,花蓮市,主計里,是,否,16,0,3,37526000,2345375,139194.27,0.0,139194.27
1998,花蓮縣,花蓮市,主農里,否,否,39,4,18,33293000,853666,645792.05,0.0,645792.05
1998,花蓮縣,花蓮市,國光里,否,否,32,2,14,36791000,1149718,513037.77,0.0,513037.77
1998,花蓮縣,花蓮市,國威里,是,否,44,4,24,354719000,8061795,1167357.85,0.0,1167357.85
1998,花蓮縣,花蓮市,國安里,否,否,28,1,12,47089000,1681750,455098.7,0.0,455098.7
1998,花蓮縣,花蓮市,國富里,否,否,79,7,41,113266900,1433758,1507917.94,0.0,1507917.94
1998,花蓮縣,花蓮市,國強里,否,否,20,0,14,69615000,3480750,545435.87,0.0,545435.87
1998,花蓮縣,花蓮市,國慶里,否,否,17,1,12,2490925745,146525043,2867226.32,0.0,2867226.32
1998,花蓮縣,花蓮市,國治里,否,否,29,3,13,57901400,1996600,499822.54,0.0,499822.54
1998,花蓮縣,花蓮市,國盛里,否,否,43,4,22,125645000,2921976,873152.67,0.0,873152.67
1998,花蓮縣,花蓮市,國福里,否,否,8,0,5,11243000,1405375,181355.74,0.0,181355.74
1998,花蓮縣,花蓮市,國聯里,否,否,106,7,65,1549092840,14614083,3742355.21,0.0,3742355.21
1998,花蓮縣,花蓮市,國興里,否,否,21,3,8,149110000,7100476,419589.07,0.0,419589.07
1998,花蓮縣,花蓮市,國華里,否,否,30,0,15,41623000,1387433,551858.8,0.0,551858.8
1998,花蓮縣,花蓮市,國裕里,否,否,70,5,44,978964410,13985205,2464538.07,0.0,2464538.07
1998,花蓮縣,花蓮市,國防里,否,否,13,1,8,18892000,1453230,291060.67,0.0,291060.67
1998,花蓮縣,花蓮市,國風里,否,否,46,4,27,119856000,2605565,1037697.4,0.0,1037697.4
1998,花蓮縣,花蓮市,國魂里,否,否,28,2,19,789479300,28195689,1426218.45,0.0,1426218.45
1998,花蓮縣,花蓮市,市區其他未標示里,否,否,62,2,0,260290,4198,256.91,0.0,256.91
1998,花蓮縣,花蓮市,民主里,是,是,17,1,2,106487000,6263941,173208.76,0.0,173208.76
1998,花蓮縣,花蓮市,民享里,否,否,21,0,11,69029000,3287095,442702.3,0.0,442702.3
1998,花蓮縣,花蓮市,民勤里,否,否,26,4,16,80576400,3099092,624358.5,0.0,624358.5
1998,花蓮縣,花蓮市,民孝里,否,否,43,9,22,235314000,5472418,981398.7,0.0,981398.7
1998,花蓮縣,花蓮市,民德里,否,否,17,2,7,14642000,861294,252814.09,0.0,252814.09
1998,花蓮縣,花蓮市,民心里,否,否,90,4,84,1450337500,16114861,4291864.0,0.0,4291864.0
1998,花蓮縣,花蓮市,民意里,否,否,14,1,9,241870000,17276428,545197.22,0.0,545197.22
1998,花蓮縣,花蓮市,民政里,否,否,32,3,18,109471848,3420995,720982.47,0.0,720982.47
1998,花蓮縣,花蓮市,民族里,是,是,38,2,14,297546000,7830157,770409.44,0.0,770409.44
1998,花蓮縣,花蓮市,民有里,否,否,3,0,0,106000,35333,104.62,0.0,104.62
1998,花蓮縣,花蓮市,民樂里,否,否,4,1,1,20133000,5033250,53923.5,0.0,53923.5
1998,花蓮縣,花蓮市,民權里,否,否,5,0,2,2058000,411600,70134.75,0.0,70134.75
1998,花蓮縣,花蓮市,民治里,否,否,0,0,0,0,0,0.0,0.0,0.0
1998,花蓮縣,花蓮市,民生里,是,是,85,1,24,78990000,929294,895206.47,0.0,895206.47
1998,花蓮縣,花蓮市,民立里,否,否,13,2,9,65532000,5040923,371147.23,0.0,371147.23
1998,花蓮縣,花蓮市,民運里,否,否,53,3,21,294440000,5555471,1005705.81,0.0,1005705.81
1999,花蓮縣,花蓮市,主信里,否,否,33,0,13,87257000,2644151,511069.24,0.0,511069.24
1999,花蓮縣,花蓮市,主力里,是,否,80,4,50,222409000,2780112,1854551.6,0.0,1854551.6
1999,花蓮縣,花蓮市,主勤里,是,否,35,2,17,70103000,2002942,625133.6,0.0,625133.6
